gram,counts
covid 19,82629
new cases,1642
super bowl,1383
news update,811
us stay,810
business news,806
follow us,802
stay updated,799
update howto,792
public health,721
february 2021,596
last year,513
united states,508
mental health,506
active cases,499
24 hours,495
loved one,481
tested positive,474
death toll,468
new deaths,462
south african,449
one year,447
vaccine doses,429
stay home,426
vaccine rollout,421
confirmed cases,417
south africa,401
first known,391
long term,385
wants us,367
nursing home,365
whistleblower doctor,360
wash hands,356
year first,355
known us,355
cases deaths,352
health care,350
please help,340
first dose,334
death 450,333
takedowntheccp 爆料革命,319
around world,307
