gram,counts
covid 19,91487
hate crimes,1698
new cases,1500
cvs near,1361
fully vaccinated,1000
last year,985
public health,977
first dose,870
24 hours,720
second wave,701
mental health,665
active cases,595
prince william,587
tested positive,565
stay home,535
one husband,527
ethnicity ccp,503
fee free,499
亚裔歧视 ethnicity,488
vaccine doses,484
healthcare workers,471
hate crime,392
health care,371
vaccine rollout,370
death toll,370
health ministry,366
third wave,365
mortality amp,364
positivity rate,358
whatshappeninginmyanmar may20coup,352
