gram,counts
covid 19,84463
whatshappeninginmyanmar july5coup,3638
2021 vaccine,2918
min age,2917
vaccine vaccinepune,2917
vaccinepune cowin,2917
july5coup whatshappeninginmyanmar,2733
covishield min,2517
nug july5coup,1982
nug whatshappeninginmyanmar,1889
hsipaw township,1754
township staged,1753
fight dictatorship,1749
boris johnson,1737
new cases,1544
july5coup milkteaalliance,1510
whatshappeninginmyanmar depayinmassacre,1214
fully vaccinated,1015
third wave,867
give insight,685
scientists usafacts,673
24 hours,661
public health,625
tested positive,593
last year,534
self isolating,465
capacity dates,460
active cases,458
