gram,counts
href rel nofollow,2630
true href rel,2586
rel nofollow twitter,2211
nofollow twitter web,1450
twitter web app,1253
fish tank cleaner,835
nofollow twitter android,621
new york times,573
stay home stay,536
stay at home,514
month every american,486
new york city,484
trying times share,481
times share support,481
support italian friends,480
italy trying times,479
stand italy trying,479
italian friends colleagues,474
help slow spread,423
statutory self employed,407
self employed pay,406
home stay safe,393
cases sooner self,366
self reporting symptoms,359
symptoms daily even,352
reporting symptoms daily,351
please stay home,341
world health organization,327
tokyo olympics postponed,315
humanity amp materialism,312
health care workers,301
stay home order,272
playwright terrence mcnally,256
princess cruise ship,232
dies taking chloroquine,232
terrence mcnally dies,226
olympics pushed back,212
kyari tests positive,212
