gram,counts
covid 19,85490
july25coup whatshappeninginmyanmar,13753
icrc_savemyanmarprisoners july25coup,6980
whatshappeninginmyanmar july25coup,4220
myanmarneedso2 july25coup,3200
2021 vaccine,3188
vaccine vaccinepune,3184
vaccinepune cowin,3184
weapons myanmarneedso2,3145
covishield min,2770
icrc_savemyanmarprisoners whatshappeninginmyanmar,2763
public health,2425
military dictatorship,2102
us breathe,2079
july26coup whatshappeninginmyanmar,2068
stopsacfromrobbingo2 july26coup,2028
breathe stopsacfromrobbingo2,2006
journalismisnotacrime whatshappeninginmyanmar,1762
military dictator,1641
health death,1630
face masks,1619
also shooting,1606
shooting abducting,1606
terrorists also,1604
distribution icrc_savemyanmarprisoners,1601
thank helping,1548
july25coup usembassyburma,1537
oxygen distribution,1537
plants using,1537
myanmar this,1536
this committing,1536
dictator trying,1535
supply oxygen,1533
whatshappeninginmyanmar sac,1532
need icrc_savemyanmarprisoners,1529
struggle militarycoup,1528
help unicef,1522
international communities,1522
uses things,1522
use oxygen,1521
things icrc_savemyanmarprisoners,1511
masks bound,1508
whatshappeninginmyanmar whatshappeninginthailand,1508
thailand confiscated,1507
two nations,1507
confiscated 100,1504
fruits whatshappeninginmyanmar,1504
spring revolution,1498
dictatorship spring,1497
stopped military,1497
military stand,1497
fully vaccinated,1471
also help,1378
every contribution,1370
contribution counts,1369
counts find,1369
organisations fight,1369
help organisations,1345
find also,1344
new cases,1187
july25coup icrc_savemyanmarprisoners,1122
wrong direction,851
death toll,834
tested positive,776
