gram,counts
covid 19,134299
new cases,4018
north korea,2431
white house,1815
tested positive,1598
death toll,1463
24 hours,1448
active cases,1332
public health,1323
united states,1148
new deaths,1138
followed trump,1120
herd immunity,1113
scientists followed,1110
confirmed cases,1087
wear masks,1069
key defeating,1014
stay home,944
face mask,933
first suspected,923
nursing homes,807
mental health,790
recovery rate,789
need start,762
face masks,758
already exists,750
south korea,742
south africa,736
exists need,725
total number,713
health care,679
death rate,677
much time,670
cases deaths,666
second wave,664
