gram,counts
covid 19,150304
new cases,5442
death toll,2567
stay home,2086
wear masks,2057
tested positive,2051
fox news,1929
nursing homes,1927
confirmed cases,1858
public health,1753
united states,1611
24 hours,1477
second wave,1404
death rate,1288
white house,1206
active cases,1204
window closing,1168
half million,1160
hold public,1125
inquiry government,1099
face masks,1058
new deaths,1050
new infections,1011
threat seriously,996
health care,982
white power,949
shredded cheese,940
fake news,938
around world,901
face mask,855
total number,849
bars closed,819
thearieair tjhinfar21,819
exceed 10,817
wash hands,802
new normal,791
top 10,775
long term,768
