gram,counts
covid 19,106371
aug25coup whatshappeninginmyanmar,6835
2021 vaccine,3572
min age,3563
vaccine vaccinepune,3563
vaccinepune cowin,3563
covishield min,3109
get vaccine,2468
fully vaccinated,2132
military terrorists,2091
new cases,1909
whatshappeninginmyanmar aug25coup,1306
public health,1248
vaccine given,1208
whatshappeninginmyanmar uselessasean,1167
crimesagainsthumanity releasethedetainees,1160
manager threaten,1132
threaten stores,1132
terrorists whatshappeninginmyanmar,1132
needs international,1083
international help,1083
booster shot,1061
amp flooding,1024
khithitofficial media,1023
arbitrarily abduct,1009
report khithitofficial,1006
crimesagainsthumanity aug25coup,955
innocent man,955
terrorists tortured,954
tortured amp,954
murdered innocent,954
brutality crimesagainsthumanity,951
tested positive,939
cause death,879
physics teacher,820
booster shots,818
amp allowed,814
threatened sell,813
teacher abducted,812
allowed retrieve,812
vaccines provided,811
family got,807
vaccine sac,803
got informed,802
amp threatened,801
abducted sac,801
informed death,800
death liar,799
old ukyawkhinewin,796
ukyawkhinewin physics,796
six months,795
tsp summoned,792
vaccine mandates,773
last year,663
24 hours,656
health care,643
