gram,counts
covid 19,65550
sep4coup whatshappeninginmyanmar,1599
takeaction_nomorewords sep4coup,1574
fully vaccinated,1333
takeaction_nomorewords whatshappeninginmyanmar,1132
neglect lives,1115
new cases,1087
daily prayers,1077
military coup,1076
opposing coup,1075
coup takeaction_nomorewords,1060
sep4coup takeaction_nomorewords,1057
fight together,1003
together horrible,1000
horrible situation,1000
tested positive,902
give insight,664
scientists usafacts,664
public health,625
vaccine cowinblore1844,597
cowinblore1844 bbmp,559
fast recovery,490
health officials,453
booster shots,452
radio hits,414
stop hits,413
today totally,413
totally commercial,413
commercial free,413
free rideshare,413
hits uber,413
uber nowplaying,413
stayathome sydneylockdown,413
sydneylockdown summeroflove,413
child deaths,413
stream non,404
hits 70s,404
70s today,404
leader child,400
died screaming,386
screaming mask,386
mask wished,380
mother college,377
vaccine mandate,375
active cases,372
