gram,counts
covid 19,159306
new cases,6919
tested positive,4585
white house,3922
first time,3375
record 15,2182
united states,1882
death toll,1843
24 hours,1813
back school,1808
speedy recovery,1806
stay home,1733
wear masks,1626
public health,1605
face masks,1576
herd immunity,1564
wears mask,1543
death rate,1489
since march,1473
day record,1467
face mask,1410
south africa,1406
deaths first,1266
trump wears,1260
active cases,1198
confirmed cases,1177
new deaths,1117
officials report,1074
cases state,1066
york officials,1011
record new,928
long term,917
health care,916
around world,903
second wave,890
bachchan family,887
family members,871
york city,856
cover up,855
fake news,852
every day,835
nursing homes,828
everyone wrong,808
day increase,804
wash hands,789
via gatewaypundit,785
accuses beijing,783
abhishek bachchan,782
world first,779
testing positive,772
cases one,764
