gram,counts
covid 19,160242
emergency use,2844
new cases,2550
tested positive,1909
public health,1768
get vaccine,1716
vaccine emergency,1682
health care,1673
united states,1670
second wave,1505
stay home,1247
vaccine via,1169
white house,1163
death toll,1090
moderna vaccine,1044
healthcare workers,1035
care workers,881
getting vaccine,874
facemasks well,865
selling cute,864
related facemasks,864
stickers pillows,864
pillows etc,864
northern beaches,861
pfizer vaccine,828
mugs phone,822
phone cases,822
cases stickers,822
fda authorizes,802
new year,793
south africa,786
vaccine live,780
vaccine doses,778
thank god,767
active cases,753
merch tshirts,708
tshirts mugs,708
loved ones,687
use authorization,684
publicly receives,683
around world,679
first dose,661
take vaccine,639
fox news,638
new deaths,635
holiday season,625
