gram,counts
covid 19,163093
tested positive,4921
emergency use,3517
new cases,3295
stay home,2300
white house,2206
public health,2200
nursing homes,1324
stay positive,1186
health care,1144
united states,1141
one prophesied,1034
ravaging locusts,1024
greatest hoax,1010
hoax ever,1009
use authorization,1005
loved ones,998
unsuspecting public,916
death toll,915
mental health,909
perpetrated unsuspecting,907
active cases,894
long term,887
24 hours,875
next month,861
first one,856
world first,849
thoughts prayers,843
first instead,818
things world,812
run things,811
prioritizing righteousness,809
righteousness first,809
second wave,789
top pathologist,776
vaccine us,759
around world,747
first time,717
new deaths,703
confirmed cases,685
wash hands,681
south australia,677
andrew cuomo,673
right wing,659
mask wearing,654
emergency authorization,647
scott tests,645
