gram,counts
covid 19,112176
aug10coup whatshappeninginmyanmar,6397
whatshappeninginmyanmar aug10coup,3818
2021 vaccine,3714
min age,3710
vaccine vaccinepune,3710
vaccinepune cowin,3710
covishield min,3122
nug whatshappeninginmyanmar,3043
fully vaccinated,1953
new cases,1941
please help,1592
family members,1508
terrorists ridiculous,1492
military dictator,1463
trouble military,1462
myanmar trouble,1461
stop arresting,1357
arresting family,1356
hostages releasethedetainees,1353
whatshappeninginmyanmar rejectmilitarycoup,1341
releasethedetainees aug10coup,1341
rejectmilitarycoup ourgovernmentnug,1336
need humanitarian,1244
humanitarian supports,1239
supports whatshappeninginmyanmar,1223
public health,1144
also help,1020
counts find,1001
every contribution,1000
contribution counts,1000
organisations fight,997
find also,968
help organisations,963
herd immunity,757
last year,746
united states,737
out of,669
acceptnug_rejectmilitary whatshappeninginmyanmar,638
get vaccine,630
vaccine cowinblore1844,625
of state,617
health care,597
tested positive,588
cowinblore1844 bbmp,578
24 hours,573
increasing day,569
thousands lives,558
urgently need,555
give insight,554
scientists usafacts,551
