gram,counts
covid 19,107965
new cases,3079
tested positive,2468
boris johnson,2440
stay home,1913
public health,1718
self isolating,1542
united states,1243
health care,1060
white house,1019
trumpconcedes trumpispathetic,984
imacelebrity imacelebritygetmeoutofhere,981
trumpispathetic millionmagamarch,962
imacelebritygetmeoutofhere sundayvibes,917
strictly rtegaa,908
themasters deactivatetrump,907
5goldrings whoislaycon,875
active cases,855
second wave,846
masters themasters,818
death toll,817
force meeting,787
herd immunity,738
south australia,734
wash hands,716
new deaths,706
24 hours,700
every day,687
death rate,641
mental health,635
cases deaths,632
health officials,621
loved ones,619
washington state,616
self isolate,613
new restrictions,584
mask wearing,567
michigan rise,566
confirmed cases,544
stop spread,544
five months,521
