gram,counts
covid 19,125500
new cases,1901
fully vaccinated,1673
cvs near,1602
public health,1573
whatshappeninginmyanmar apr28coup,1377
death toll,1296
second wave,1244
announced passport,1206
thailand tested,1204
passport renewals,1204
renewals process,1204
trouble whatshappeninginmyanmar,1202
process purposely,1202
abroad trouble,1200
delegate thailand,1199
purposely put,1197
24 hours,1183
last year,901
tested positive,887
vaccine doses,791
please help,766
united states,760
active cases,742
paid sick,728
health care,652
stay home,649
vaccines everyone,634
recovered plasma,569
herd immunity,561
loved ones,560
patents share,558
