gram,counts
covid 19,140231
new cases,3778
public health,1966
tested positive,1924
united states,1571
trump knew,1502
death toll,1371
24 hours,1079
active cases,1037
ice flew,978
every day,971
mental health,909
confirmed cases,902
protests huge,852
outbreak followed,840
white house,820
new deaths,820
death rate,713
loved ones,701
second wave,693
officials interfered,664
trump officials,655
vaccine development,629
first time,626
death count,614
tracing app,613
stay home,598
vaccine trial,598
england wales,598
face masks,594
face mask,594
nursing homes,593
