gram,counts
covid 19,45629
mental health,1903
oct10coup whatshappeninginmyanmar,1747
ourgovernmentnug oct10coup,1702
new cases,951
fully vaccinated,938
whatshappeninginmyanmar releasethedetainees,853
unlawful abductions,828
abductions kwalwal,827
tsp ourgovernmentnug,827
vaccine mandate,588
health care,421
public health,410
vaccine mandates,407
24 hours,400
stream here,332
stop hits,332
hits 70s,332
70s today,332
today rideshare,332
radio hits,332
hits uber,332
uber nowplaying,332
stayathome sydneylockdown,332
adverse reactions,325
last year,316
fact check,287
active cases,279
united states,278
texas gop,275
long term,259
health workers,252
vaccine doses,247
twitter fact,247
vaccine search,246
heart inflammation,245
tested positive,241
search box,241
vaccines monitoring,236
new deaths,234
vaccines cause,233
world economic,227
death toll,224
health day,217
around world,216
