gram,counts
covid 19,172509
bush clinton,4985
vaccine publicly,3701
new cases,3132
gain public,2792
publicly gain,2731
public health,2230
stay home,2205
tested positive,1701
death toll,1623
health care,1565
united states,1471
white house,1348
supply chain,1151
at home,1107
health officials,1097
cold chain,1092
vaccine first,990
24 hours,988
get vaccine,978
take vaccine,973
every day,946
first time,926
vaccine distribution,907
active cases,847
new deaths,800
mental health,787
around world,773
american lives,765
vaccine supply,744
vaccine camera,726
