gram,counts
covid 19,199813
new cases,5873
cover up,4146
accuses beijing,3677
flees hong,3538
treat whistleblowers,3213
tested positive,3198
know treat,3177
public health,2445
wear masks,2238
united states,2220
catholic church,2109
death toll,1904
face masks,1791
unknown pneumonia,1715
stay home,1679
death rate,1632
fox news,1610
24 hours,1456
white house,1427
back school,1384
confirmed cases,1374
contract without,1312
without open,1312
fake news,1305
world health,1290
long term,1288
active cases,1234
nursing homes,1229
new deaths,1213
gove cummings,1198
cummings given,1193
herd immunity,1053
new normal,1013
whistleblowers foxnews,1004
health care,993
realdonaldtrump southcom,986
face mask,984
mental health,959
please help,934
every day,920
whitehouse realdonaldtrump,880
south africa,868
