gram,counts
covid 19,114009
new cases,2039
public health,1624
trump officials,1590
health experts,1398
change cdc,1312
vaccines may,1289
better vaccines,1263
including death,1260
experts know,1257
science know,1254
measures far,1254
know physics,1253
physics measures,1253
penalties including,1253
death idea,1253
idea work,1253
wearing cotton,1252
emails show,1239
celebrated efforts,1210
officials celebrated,1203
last year,1145
blood clots,966
24 hours,891
fully vaccinated,793
vaccine doses,730
active cases,700
tested positive,689
board exams,676
helped shield,660
shield world,653
cvs near,641
mental health,605
thing happen,596
first dose,594
world mastered,592
mastered human,592
fully shaped,592
shaped nutritional,592
advances selfhood,592
selfhood fixed,592
fixed medical,592
identifications yet,592
yet corpses,592
relentlessly thing,592
second wave,566
united states,563
