gram,counts
covid 19,107626
new cases,1910
last year,1395
public health,1225
one year,933
third wave,925
partially closed,821
first dose,806
24 hours,724
vaccine doses,708
astrazeneca vaccine,681
tested positive,671
blood clots,623
active cases,608
vaccine rollout,591
boris johnson,579
united states,566
stay home,563
mental health,519
health care,518
fully vaccinated,515
target cancer,508
closed due,500
effective treatment,490
cheap effective,480
take precedence,478
power profits,477
profits take,477
new deaths,469
great news,459
long term,455
hate crimes,445
