gram,counts
covid 19,188950
tested positive,4077
new cases,4008
white house,3166
public health,2393
death toll,1791
nursing homes,1538
united states,1517
health care,1411
new phase,1385
fake news,1317
first time,1266
long term,1259
extraordinarily widespread,1251
24 hours,1232
confirmed cases,1208
back school,1178
stay home,1052
active cases,996
high school,959
new deaths,954
pandemic bad,949
second wave,943
cruise ship,909
mental health,904
face masks,898
death rate,888
cases deaths,856
around world,815
every day,812
whitehouse realdonaldtrump,787
cover up,766
