gram,counts
covid 19,155343
boris johnson,4778
new year,2860
new cases,2551
national lockdown,2522
stay home,2318
tested positive,1990
public health,1854
vaccine rollout,1437
health care,1412
south africa,1362
new strain,1115
death toll,1091
healthcare workers,1088
south african,1014
long term,994
last year,968
lockdown england,883
united states,834
new national,791
mental health,780
24 hours,749
full lockdown,746
bharat biotech,734
health officials,724
active cases,692
vaccine doses,688
andrew cuomo,678
every day,663
