gram,counts
true href rel,4116
rel nofollow twitter,3514
nofollow twitter web,2446
twitter web app,2112
towards cashless society,1547
stay at home,1437
cashless society know,1333
new york times,1126
new york city,1001
new zealand claims,972
nofollow twitter android,908
covert id heading,780
towards future cashless,780
future cashless society,780
id heading towards,780
heading towards future,780
society did know,780
cashless society did,780
claims community cases,763
community cases lockdown,756
cases lockdown eases,752
zealand claims community,750
know bible spoke,687
top doctor treated,662
boris johnson says,648
society know bible,643
food supply chain,637
words full self,555
health care workers,552
cashless society hear,551
death toll could,550
60 higher reported,537
toll could 60,529
could 60 higher,529
treated virus patients,484
oxford group leaps,477
supply chain breaking,474
may emerging children,469
group leaps ahead,469
doctor treated virus,468
vaccine oxford group,457
moving towards cashless,438
must read article,434
make extra cash,431
extra cash home,430
closed 13 ways,429
campuses closed 13,429
13 ways students,429
workfromhome online make,429
age cashless society,423
pressing towards cashless,420
response utterly hypocritical,409
boris johnson returns,403
