gram,counts
covid 19,106309
death toll,2640
new cases,1736
public health,1319
united states,1168
boris johnson,1043
white house,907
vaccine rollout,900
last year,882
mental health,711
takedowntheccp 爆料革命,666
february 22,624
candle lighting,610
lighting ceremony,578
active cases,555
vaccine doses,549
first dose,523
one year,519
tested positive,518
pfizer vaccine,518
long term,516
loved ones,503
24 hours,493
get vaccine,491
vaccine distribution,484
selling cute,481
related facemasks,481
facemasks well,481
stickers pillows,481
pillows etc,481
new deaths,480
please help,479
around world,466
merch shirts,462
shirts mugs,462
smallbusiness redbubble,462
healthcare shop,462
