gram,counts
covid 19,163041
congressman elect,3597
new cases,2721
new year,2497
first case,2436
tested positive,2001
new strain,1701
death toll,1665
public health,1652
stay home,1628
united states,1494
ted cruz,1405
south african,1360
cases new,1345
south africa,1319
billionaire fracking,1269
health care,1204
variant found,1175
found colorado,1127
long term,1117
following house,1042
payments following,1038
health officials,1005
wisma atlet,999
aid report,988
white house,965
vaccine rollout,961
first known,940
at home,928
necessarily big,914
first dose,884
harris receives,840
aged 41,808
complications aged,806
24 hours,803
vaccine distribution,794
