gram,counts
covid 19,148142
new cases,2000
boris johnson,1785
death toll,1662
public health,1506
vaccine doses,1314
last year,1089
tested positive,1023
everything could,929
stay home,895
vaccine rollout,873
south africa,858
herd immunity,841
vaccine distribution,792
white house,739
mental health,721
give insight,689
health care,684
scientists usafacts,671
united states,666
related deaths,649
vaccine supply,640
new zealand,623
confirmed cases,603
loved ones,579
health officials,575
active cases,573
24 hours,564
