gram,counts
covid 19,199789
new cases,5672
tested positive,3468
death rate,3157
united states,2901
public health,2834
inside heart,2826
back school,2345
scream inside,2087
death toll,1844
confirmed cases,1720
stay home,1704
white house,1641
world health,1546
long term,1537
24 hours,1482
please scream,1438
serious brain,1277
new normal,1265
second wave,1257
face masks,1254
trump rally,1248
every day,1225
herd immunity,1196
nursing homes,1182
around world,1152
mental health,1115
ivy league,1115
active cases,1099
health care,1093
warning serious,1088
health organization,1045
total number,1042
health officials,1031
face mask,1012
new deaths,950
screaming inside,943
health official,940
boris johnson,929
mortality rate,927
health department,914
fake news,911
wash hands,893
care homes,893
