gram,counts
covid 19,172116
tested positive,4788
thearieair tjhinfar21,3340
1trenggalek thearieair,3339
new cases,3300
_mylove_u wiwikherma,2585
united states,1922
public health,1902
health care,1571
death toll,1522
family tested,1414
active cases,1244
white house,1227
death rate,1181
nursing homes,1142
24 hours,1134
johnson family,1107
ten athletes,1076
care workers,990
frontline workers,931
nursing home,878
the rock,859
nurses health,819
health officials,814
confirmed cases,809
safety frontline,807
back school,772
