gram,counts
covid 19,111386
new cases,1942
asymptomatic transmission,1224
government funding,1097
tested positive,986
new strain,965
united states,920
public health,911
finds news,871
south africa,859
news lifesite,834
government shutdown,806
health care,792
white house,760
herd immunity,729
stay home,722
cases new,714
via gatewaypundit,701
30 seconds,675
death toll,675
24 hours,568
less around,567
around percent,558
around world,551
top story,551
next year,551
long term,551
related facemasks,548
facemasks well,548
stickers pillows,548
pillows etc,548
active cases,530
with china,523
mugs phone,513
phone cases,513
cases stickers,513
