gram,counts
covid 19,120390
new cases,2889
herd immunity,1960
tested positive,1644
public health,1611
white house,1414
whitehouse realdonaldtrump,1107
united states,1100
boris johnson,974
town hall,928
one prophesied,809
24 hours,784
active cases,784
second wave,765
mental health,762
the one,708
around world,685
death toll,668
first time,650
confirmed cases,650
health care,639
nursing homes,628
new infections,606
fake news,586
emergency use,571
health officials,545
new deaths,510
loved ones,509
wash hands,475
