gram,counts
covid 19,140954
new cases,2976
white house,2766
herd immunity,2255
public health,2212
tested positive,1436
second wave,1397
anthony fauci,1240
united states,1224
shows evidence,1151
evidence two,1151
spread intentionally,1151
intentionally chinese,1151
mental health,1115
active cases,1103
cases rise,1031
death toll,974
tired hearing,927
around world,876
confirmed cases,868
recovery rate,844
24 hours,778
trashes fauci,756
nursing homes,748
infectious disease,723
inside white,723
health care,716
greater manchester,677
winning hearts,672
face mask,668
wash hands,667
stay home,666
wear masks,662
twitter removes,656
death rate,656
hearts dance,650
surprised trump,645
new deaths,635
india winning,634
