gram,counts
covid 19,199392
press conference,7322
new cases,4316
youtube twitter,3747
facebook google,3530
twitter censor,3502
tested positive,2837
frontline doctors,2488
public health,2347
white house,1781
second wave,1776
death rate,1597
united states,1595
misinformation scotus,1542
death toll,1533
facebook twitter,1488
key defeating,1376
fake news,1284
aged care,1284
jr account,1271
24 hours,1267
already exists,1259
confirmed cases,1236
exists need,1201
twitter youtube,1183
nursing homes,1141
boris johnson,1137
long term,1133
active cases,1130
new deaths,1108
health care,1025
stay home,1017
trump new,955
wear masks,954
face masks,945
conference bitchute,928
around world,908
man accused,902
accused using,897
bill includes,864
disinformation campaign,854
