gram,counts
covid 19,153314
new cases,3513
tested positive,2508
death toll,2304
herd immunity,2219
public health,1914
boris johnson,1722
second wave,1696
tjhinfar21 wiwikherma,1650
united states,1405
white house,1298
virtually nobody,1286
active cases,1092
long term,1038
affects virtually,975
new normal,952
24 hours,919
mental health,886
confirmed cases,822
new deaths,822
missouri governor,818
washington post,795
study shows,758
health care,753
recovery rate,733
genetic study,665
potentially evolving,653
take action,643
mutating potentially,635
