gram,counts
covid 19,146275
tested positive,5358
new cases,4617
texas county,2846
testing tracing,2689
white house,2301
death toll,2008
public health,1985
one texas,1780
block new,1736
money testing,1678
new money,1626
pushing block,1608
administration pushing,1587
united states,1525
age tested,1513
face masks,1511
24 hours,1438
death rate,1328
stay home,1277
infants age,1242
infants tested,1234
confirmed cases,1199
leadership role,1119
abandon leadership,1110
active cases,1089
one county,1066
county texas,1046
nursing homes,993
accuses beijing,975
study finds,971
new deaths,969
treat whistleblowers,969
whistleblowers telling,956
county sets,951
back school,945
texas cases,918
new record,914
boris johnson,905
washington post,867
cases deaths,864
please help,862
spread truth,860
long term,845
know treat,833
world truth,831
beijing covered,815
first time,795
herd immunity,789
fox news,778
face mask,767
health officials,739
health care,731
motorcycle crash,727
total number,723
