gram,counts
covid 19,144135
scott atlas,3772
new cases,2728
atlas resigns,2317
thank god,2215
tested positive,1812
public health,1784
emergency use,1506
health care,1491
white house,1393
stay home,1308
throughout pandemic,1135
12 hour,1112
hour shifts,1102
worker throughout,1094
shifts recovering,1093
hard please,1075
year officialplt,1070
officialplt pltpinkmonday,984
united states,978
long term,930
active cases,867
pltpinkmonday working,866
vaccine trial,758
moderna vaccine,749
use authorization,726
death toll,723
health officials,715
small businesses,699
94 effective,685
24 hours,656
mental health,651
vaccine us,651
new deaths,637
vaccine candidate,634
around world,624
officialplt please,620
since friday,619
officialplt umarkamani,601
treat family,588
care worker,583
could really,580
fda authorization,572
something nice,571
really use,564
second wave,560
essential health,558
nice christmas,553
christmas mom,553
use treat,552
family something,552
