gram,counts
covid 19,115108
new cases,3023
public health,1746
death toll,1605
tested positive,1583
24 hours,950
active cases,862
hope everyone,856
united states,815
confirmed cases,780
south africa,769
herd immunity,725
mass recovery,716
mental health,679
new deaths,667
three months,652
stay home,639
post office,626
face mask,584
south korea,560
steadily increasing,542
health care,538
white house,536
back school,536
face masks,531
cases deaths,516
death rate,509
around world,507
second wave,504
aged care,492
health officials,484
long term,477
every day,457
scheduled mass,453
