gram,counts
covid 19,88900
aug7coup whatshappeninginmyanmar,4471
whatshappeninginmyanmar aug7coup,3948
2021 vaccine,3210
min age,3206
vaccine vaccinepune,3206
vaccinepune cowin,3206
sentenced death,2940
death amp,2699
covishield min,2390
us we,2275
hands choice,2243
stopexecutingtigrayans ethioredcross,2206
fully vaccinated,1748
also help,1591
every contribution,1585
contribution counts,1585
organisations fight,1585
counts find,1584
third wave,1582
new cases,1545
find also,1540
help organisations,1540
smuggled phone,1522
30 years,1510
phone might,1510
need urgently,1481
urgently international,1479
citizens whatshappeninginmyanmar,1479
passed death,1470
ethnicity stopexecutingtigrayans,1469
eth regime,1467
civilians dying,1464
served military,1462
history misconduct,1461
years history,1460
endf ethnicity,1459
weapons aug7coup,1456
wave useless,1440
infections day,1379
milkteaalliance whatshappeninginthailand,1343
sole reason,1331
ethnic profiling,1329
far sweeping,1321
aug6coup whatshappeninginmyanmar,1252
locals cdfsupport,1205
crimesagainsthumanity whatshappeninginmyanmar,1046
pray stopexecutingtigrayans,963
irlembethiopia nlinethiopia,962
want ex,959
tigraygenocide irlembethiopia,958
across country,946
death toll,893
international law,887
arbitrary arrest,886
execution stopexecutingtigrayans,885
protect tigrayan,881
intlcrimcourt failed,876
combatants international,875
icrc intlcrimcourt,871
public health,855
stopexecutingtigrayans hrw,802
hrw eucouncil,797
warned us,796
ethnic tigrayans,796
death act,792
feared execution,791
fear even,789
