gram,counts
covid 19,105320
cvs near,1837
new cases,1788
public health,1211
may28coup whatshappeninginmyanmar,1118
last year,1017
fully vaccinated,848
second wave,821
inquiry government,771
24 hours,742
give insight,710
scientists usafacts,698
posts claiming,697
boris johnson,687
active cases,687
hold public,684
leak theory,674
first dose,567
vaccine doses,554
care homes,529
long term,516
united states,512
facebook longer,493
mental health,491
fake news,482
positivity rate,472
death toll,458
tested positive,427
