gram,counts
covid 19,196258
herman cain,18115
new cases,4539
tested positive,3258
candidate herman,2968
public health,2242
trump rally,2217
death toll,2103
second wave,1836
united states,1627
mass recovery,1610
white house,1464
co founder,1439
mild asymptomatic,1288
death rate,1280
24 hours,1250
without mask,1213
cain former,1195
active cases,1161
stay home,1140
new deaths,1133
confirmed cases,1131
back school,1116
england highest,1096
long term,1004
face mask,985
face masks,966
former republican,965
fake news,866
every day,861
health care,847
