gram,counts
covid 19,74299
vaccine children,1649
new cases,1342
fully vaccinated,1304
public health,793
pharmacist brother,648
emergency use,646
vaccine mandates,601
last year,544
give insight,539
thanks data,539
scientists usafacts,539
health care,527
vaccine kids,518
anthony fauci,498
united states,467
long term,451
right wing,434
active cases,432
vaccine mandate,416
biontech ask,411
man accused,401
24 hours,388
allow use,371
mental health,365
interview cnn,365
punctured hole,364
hole right,364
ongoing spread,364
vaccine doses,346
us allow,345
