gram,counts
boris johnson tests,2832
true href rel,2798
rel nofollow twitter,2471
minister boris johnson,2145
nofollow twitter web,1622
twitter web app,1424
new york times,1012
johnson tested positive,879
boris johnson tested,853
pm boris johnson,772
nofollow twitter android,700
new york city,592
stay at home,588
health care workers,583
stay home stay,570
home stay safe,476
petition via ukchange,445
please stay home,437
petition via change,418
help slow spread,345
chief medical officer,334
health care system,329
world health organization,322
