gram,counts
true href rel,3011
rel nofollow twitter,2640
world health organization,1882
thearieair hamka_sutra wagimandeep212,1637
tjhinfar21 thearieair hamka_sutra,1637
aryprasetyo85 tjhinfar21 thearieair,1637
nofollow twitter web,1615
stay at home,1456
twitter web app,1331
one world together,1188
new york times,1175
world together home,1156
americans world health,1036
real time information,944
transmitted real time,943
health organization transmitted,851
organization transmitted real,851
nofollow twitter android,840
thousands israelis brave,625
ignored scientists warnings,576
new york city,558
america year ahead,553
tells fox news,542
death toll rises,528
trump warns china,516
health care workers,501
meetings ignored scientists,495
germany sends china,495
sunday times reports,488
warnings sunday times,485
scientists warnings sunday,485
