gram,counts
covid 19,62881
whatshappeninginmyanmar july4coup,5973
july4coup whatshappeninginmyanmar,4469
2021 vaccine,2973
min age,2972
vaccine vaccinepune,2972
vaccinepune cowin,2972
covishield min,2638
township dictators,2278
die whatshappeninginmyanmar,2275
held charity,2072
charity groups,2072
groups hwaykhar,2072
campaign held,2071
cvs near,1680
new cases,1288
know control,1227
terrorists know,1226
know arrest,1224
pandemic july4coup,1223
chindwin river,1141
salingyi township,1141
protesters marched,1141
bank chindwin,1137
township protesters,1136
marched accordance,1136
afternoon whatshappeninginmyanmar,1135
fully vaccinated,799
24 hours,603
death toll,572
hospitalvaccines covishield,518
third wave,481
south africa,479
active cases,478
public health,465
last year,416
tested positive,402
aged care,396
united states,383
new deaths,373
health ministry,368
missouri woman,365
vaccine fear,361
fear side,361
effects caught,361
fourth july,352
