gram,counts
covid 19,146157
lewis hamilton,4342
thank god,2919
new cases,2766
tested positive,2270
health care,2215
public health,2044
long term,1716
white house,1438
care workers,1379
vaccine first,1259
grand prix,1178
stay home,1012
nursing home,995
united states,984
death toll,984
atlas resigns,975
testing positive,942
health officials,858
active cases,832
hope recover,802
around world,758
healthcare workers,738
24 hours,734
speedy recovery,710
leaked documents,705
mental health,704
thanks god,699
new deaths,646
boris johnson,640
fast recovery,639
second wave,602
confirmed cases,570
last year,570
loved ones,564
recover soon,527
cases deaths,513
next year,504
tested negative,502
nursing homes,501
