gram,counts
covid 19,185707
new cases,3931
death toll,3199
tested positive,2738
white house,2309
public health,2283
united states,1820
health commissioner,1723
second wave,1588
nursing homes,1444
nyc health,1391
via gatewaypundit,1257
active cases,1236
around world,1234
confirmed cases,1201
mental health,1168
long term,1125
back school,1125
ministry foreign,1122
death rate,1117
new deaths,1094
health care,1081
24 hours,1078
wear masks,1071
stay home,995
nursing home,963
high school,947
owns half,904
face masks,904
first time,885
half patent,874
jonathanvswan realdonaldtrump,874
vaccine owns,872
whitehouse realdonaldtrump,859
cases deaths,858
every day,843
interview bobby,831
resigns citing,773
citing blasio,755
