gram,counts
covid 19,131411
new strain,5309
new variant,2338
new cases,2331
relief package,2315
boris johnson,1677
united states,1630
get vaccine,1352
public health,1316
white house,1277
front line,1183
health minister,1168
stay home,1037
south africa,1014
health care,973
ban flights,962
24 hours,916
tested positive,845
second wave,807
congressional leaders,736
deaths far,728
nine months,721
healthcare workers,720
active cases,706
vaccine cdc,691
congress reaches,689
vaccine authorized,651
health ministry,645
